Source,Target,Correct dep inference?,Remark (if needed),Classification
io :: crates :: arguments :: v_0_4_0,io :: crates :: options :: v_0_5_1,FALSE,"grep -nr 'options' , yields some calls here!, Options::new() called in parse (gen fn)",CALL-IN-GEN-DEF
io :: crates :: rdiff :: v_0_1_1,io :: crates :: rust_crypto :: v_0_2_36,FALSE,generic function,GENERIC-FUNC-DF
io :: crates :: rendezvous_hash :: v_0_1_4,io :: crates :: siphasher :: v_0_1_3,TRUE,not used,NOT-IMPORT
io :: crates :: lithos :: v_0_13_2,io :: crates :: unshare :: v_0_2_0,FALSE,condtional comp,CONDITIONAL
io :: crates :: stft :: v_0_1_3,io :: crates :: strider :: v_0_1_3,FALSE,call inside a generic fn,CALL-IN-GEN-DEF
io :: crates :: rink :: v_0_4_1,io :: crates :: linefeed :: v_0_1_5,TRUE,not imported in library code,NOT-IN-LIB
io :: crates :: persistent_hashmap :: v_0_3_0,io :: crates :: persistent_array :: v_0_4_0,FALSE,generic function and conditional flag on windows,CONDITIONAL
io :: crates :: sniffglue :: v_0_4_0,io :: crates :: pcap :: v_0_7_0,TRUE,imported in main.rs,NOT-IN-LIB
io :: crates :: superlu :: v_0_3_0,io :: crates :: superlu_sys :: v_0_3_2,FALSE,call to c-lib wrapper,C-CALL
io :: crates :: panini :: v_0_0_0,io :: crates :: typed_arena :: v_1_3_0,FALSE,imported Arena but not used,TYPE-ONLY-DEP
io :: crates :: internment :: v_0_1_0,io :: crates :: tinyset :: v_0_0_12,FALSE,implements a Trait,TYPE-ONLY-DEP
io :: crates :: mhost :: v_0_0_2,io :: crates :: resolv_conf :: v_0_4_0,TRUE,not imported in lib.rs,NOT-IN-LIB
io :: crates :: Lattice :: v_0_3_11,io :: crates :: unicode_normalization :: v_0_1_5,TRUE,invoked in other modules but not library,NOT-IN-LIB
io :: crates :: memorydb :: v_0_1_1,io :: crates :: rlp :: v_0_2_1,FALSE,using a constant ,TYPE-ONLY-DEP
io :: crates :: searchspot :: v_0_11_2,io :: crates :: oath :: v_0_1_4,TRUE,used externally but not in library code,NOT-IMPORT
io :: crates :: fftw :: v_0_1_0,io :: crates :: fftw_sys :: v_0_1_0,TRUE,invoked in other modules but not library,NOT-IN-LIB
io :: crates :: websession :: v_0_6_1,io :: crates :: rpassword :: v_2_0_0,TRUE,not part of the library functionality,NOT-IN-LIB
io :: crates :: mvnc :: v_0_1_3,io :: crates :: half :: v_1_0_2,FALSE,imports data structures,TYPE-ONLY-DEP
io :: crates :: prost_types :: v_0_2_1,io :: crates :: bytes :: v_0_4_6,TRUE,not imported,NOT-IMPORT
io :: crates :: dharma :: v_0_1_0,io :: crates :: timerfd :: v_0_2_0,FALSE,call made in pattern match clause (gen fn),CALL-IN-GEN-DEF
io :: crates :: opentype :: v_0_1_2,io :: crates :: date :: v_0_1_3,FALSE,-,CONDITIONAL
io :: crates :: discord :: v_0_8_0,io :: crates :: base64_rs :: v_0_1_1,FALSE,both call inside a generic fn and condtional,CONDITIONAL
io :: crates :: milagro_crypto :: v_0_1_6,io :: crates :: rand :: v_0_3_22,TRUE,not imported in lib,NOT-IN-LIB
io :: crates :: lcd :: v_0_3_0,io :: crates :: fast_fmt :: v_0_1_3,FALSE,use of flags,CONDITIONAL
io :: crates :: servo_glutin :: v_0_12_2,io :: crates :: core_foundation :: v_0_4_6,FALSE,built without OS X flags,CONDITIONAL
io :: crates :: irc_channel :: v_0_1_1,io :: crates :: irc_message :: v_1_0_0,FALSE,imports only data structures,TYPE-ONLY-DEP
io :: crates :: lithos :: v_0_13_2,io :: crates :: scan_dir :: v_0_3_3,TRUE,call not in a library,NOT-IN-LIB
io :: crates :: workerpool :: v_1_0_1,io :: crates :: num_cpus :: v_1_8_0,FALSE,call inside a generic fn body,CALL-IN-GEN-DEF
io :: crates :: sqa_engine :: v_0_2_4,io :: crates :: bspline :: v_0_2_2,TRUE,not imported ,NOT-IMPORT
io :: crates :: websession :: v_0_7_0,io :: crates :: rpassword :: v_2_0_0,TRUE,not part of the library code,NOT-IN-LIB
io :: crates :: xz2 :: v_0_1_4,io :: crates :: lzma_sys :: v_0_1_9,FALSE,dependency functions represented as C calls,C-CALL
io :: crates :: rustfmt_nightly :: v_0_3_0,io :: crates :: derive_new :: v_0_5_0,FALSE,-,TYPE-ONLY-DEP
io :: crates :: push_trait :: v_0_3_0,io :: crates :: blist :: v_0_0_4,FALSE,Conditional compilation,CONDITIONAL
io :: crates :: midir :: v_0_5_0,io :: crates :: jack_sys :: v_0_1_5,FALSE,calls made in an unsafe closure,C-CALL
io :: crates :: volume :: v_0_3_0,io :: crates :: time_calc :: v_0_10_1,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: dent :: v_0_4_1,io :: crates :: term :: v_0_4_6,TRUE,not imported in lib,NOT-IN-LIB
io :: crates :: specs_sprite :: v_0_3_3,io :: crates :: specs :: v_0_10_0,TRUE,not imported in lib,NOT-IN-LIB
io :: crates :: rustfmt_nightly :: v_0_3_1,io :: crates :: derive_new :: v_0_5_0,FALSE,-,TYPE-ONLY-DEP
io :: crates :: html5ever :: v_0_5_2,io :: crates :: heapsize :: v_0_3_9,FALSE,compiler plugin,CONDITIONAL
io :: crates :: compressor :: v_0_3_0,io :: crates :: envelope_detector :: v_0_2_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: shadowsocks_rust :: v_1_3_3,io :: crates :: qrcode :: v_0_2_1,TRUE,-,NOT-IMPORT
io :: crates :: qrcode :: v_0_4_0,io :: crates :: image :: v_0_13_0,FALSE,"#[cfg(feature=""image"")] extern crate image;",CONDITIONAL
io :: crates :: pazi :: v_0_0_1,io :: crates :: chan_signal :: v_0_3_1,TRUE,not imported in lib.rs,NOT-IN-LIB
io :: crates :: rodio :: v_0_3_1,io :: crates :: vorbis :: v_0_0_13,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: diesel :: v_0_13_1,io :: crates :: quickcheck :: v_0_3_2,FALSE,used in test code (but also needs cond compiler),CONDITIONAL
io :: crates :: trk_io :: v_0_3_5,io :: crates :: nifti :: v_0_4_1,FALSE,-,CONDITIONAL
io :: crates :: minions :: v_0_2_4,io :: crates :: lossyq :: v_0_1_19,FALSE,call inside generic function,CALL-IN-GEN-DEF
io :: crates :: txtpic :: v_1_2_2,io :: crates :: bmp :: v_0_2_0,TRUE,not imported ,NOT-IMPORT
io :: crates :: ciruela :: v_0_5_3,io :: crates :: ns_router :: v_0_1_5,TRUE,empty,NOT-IMPORT
io :: crates :: tic :: v_0_0_3,io :: crates :: waterfall :: v_0_3_0,FALSE,call in generic,CALL-IN-GEN-DEF
io :: crates :: voice :: v_0_1_1,io :: crates :: pocketsphinx :: v_0_6_0,TRUE,import stmt commented,NOT-IMPORT
io :: crates :: connectr :: v_0_1_0,io :: crates :: rubrail :: v_0_4_3,TRUE,-,NOT-IMPORT
io :: crates :: ciruela :: v_0_2_11,io :: crates :: scan_dir :: v_0_3_3,TRUE,-,NOT-IMPORT
io :: crates :: ciruela :: v_0_5_4,io :: crates :: tk_listen :: v_0_1_1,TRUE,not imported in lib,NOT-IN-LIB
io :: crates :: disqrust :: v_0_1_0,io :: crates :: disque :: v_0_2_2,FALSE,conditional compile flag of the import statement,CONDITIONAL
io :: crates :: froggy :: v_0_4_2,io :: crates :: spin :: v_0_4_6,FALSE,call inside generic function,CALL-IN-GEN-DEF
io :: crates :: Lattice :: v_0_3_11,io :: crates :: lazy_static :: v_0_2_11,TRUE,"macro, not written in the code",NOT-IMPORT
io :: crates :: numeric :: v_0_1_3,io :: crates :: hdf5_sys :: v_0_3_3,FALSE,"macro, not written in the code",MACRO
io :: crates :: allegro_ttf :: v_0_0_26,io :: crates :: libc :: v_0_1_12,FALSE,just a type (c_int),TYPE-ONLY-DEP
io :: crates :: panini :: v_0_0_0,io :: crates :: ref_slice :: v_1_1_1,FALSE,not used Arena is there but not used,TYPE-ONLY-DEP
io :: crates :: poisson :: v_0_7_0,io :: crates :: rand :: v_0_3_22,FALSE,calls in gen fn (and perhaps also dynamic calls),CALL-IN-GEN-DEF
io :: crates :: tendril :: v_0_2_2,io :: crates :: utf_8 :: v_0_6_0,FALSE,call to dependency in a generic fn,CALL-IN-GEN-DEF
io :: crates :: liner :: v_0_4_2,io :: crates :: termion :: v_1_5_1,FALSE,Called but no generic def exists,GENERIC-FUNC-DF
io :: crates :: ogg :: v_0_4_0,io :: crates :: byteorder :: v_0_5_3,FALSE,-,CONDITIONAL
io :: crates :: conduit_utils :: v_0_8_0,io :: crates :: semver :: v_0_5_1,FALSE,only use of data types,TYPE-ONLY-DEP
io :: crates :: minutae :: v_0_2_1,io :: crates :: rayon :: v_0_7_1,FALSE,"Dynamic call, rayon::prelude::*",DYNAMIC-CALL
io :: crates :: grafen :: v_0_9_1,io :: crates :: dialoguer :: v_0_1_0,TRUE,not imported in lib ,NOT-IN-LIB
io :: crates :: redfa :: v_0_0_2,io :: crates :: vec_map :: v_0_6_0,FALSE,call inside generic function,CALL-IN-GEN-DEF
io :: crates :: cssparser :: v_0_9_0,io :: crates :: heapsize :: v_0_3_9,FALSE,"#[cfg(feature = ""heapsize"")] #[macro_use] extern crate heapsize;",CONDITIONAL
io :: crates :: ethereum_types :: v_0_2_3,io :: crates :: uint :: v_0_1_2,TRUE,"Data structures only one ""use"" e.g imported",NOT-IMPORT
io :: crates :: sha3 :: v_0_2_0,io :: crates :: digest :: v_0_2_1,FALSE,-,DYNAMIC-CALL
io :: crates :: maze :: v_0_1_2,io :: crates :: css_color_parser :: v_0_1_2,TRUE,not imported,NOT-IMPORT
io :: crates :: stream_delimit :: v_0_4_2,io :: crates :: kafka :: v_0_6_2,FALSE,conditional compilation,CONDITIONAL
io :: crates :: ciruela :: v_0_5_3,io :: crates :: tk_listen :: v_0_1_1,TRUE,only used in a binary,NOT-IN-LIB
io :: crates :: openai :: v_0_1_0,io :: crates :: websocket :: v_0_17_1,TRUE,calls are there but perhaps not exported,NOT-IN-LIB
io :: crates :: stayalive :: v_0_3_2,io :: crates :: threadpool :: v_1_7_1,FALSE,call inside a generic fn,CALL-IN-GEN-DEF
io :: crates :: gauc :: v_0_7_0,io :: crates :: ctrlc :: v_3_1_0,TRUE,not imported in lib,NOT-IN-LIB
io :: crates :: coco :: v_0_3_4,io :: crates :: scopeguard :: v_0_3_3,TRUE,not imported,NOT-IMPORT
io :: crates :: maze :: v_0_1_1,io :: crates :: imageproc :: v_0_6_1,FALSE,call inside a generic fn,CALL-IN-GEN-DEF
io :: crates :: amq_protocol :: v_0_17_0,io :: crates :: cookie_factory :: v_0_2_2,FALSE,macro calls,MACRO
io :: crates :: rotor_stream :: v_0_4_0,io :: crates :: void :: v_0_0_5,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: twist :: v_0_6_0,io :: crates :: slog_atomic :: v_0_4_3,TRUE,nothing imported,NOT-IMPORT
io :: crates :: voronoi :: v_0_1_0,io :: crates :: stopwatch :: v_0_0_7,TRUE,declared but not used,NOT-IMPORT
io :: crates :: pamsm :: v_0_1_0,io :: crates :: time :: v_0_1_39,TRUE,commented out in the code,NOT-IMPORT
io :: crates :: pastebin :: v_0_17_2,io :: crates :: mongo_driver :: v_0_12_0,TRUE,no import in the library code,NOT-IN-LIB
io :: crates :: euclid :: v_0_10_2,io :: crates :: heapsize :: v_0_3_9,FALSE,only datatypes,TYPE-ONLY-DEP
io :: crates :: cpal :: v_0_8_0,io :: crates :: stdweb :: v_0_1_3,FALSE,conditional comp,CONDITIONAL
io :: crates :: webidl :: v_0_2_0,io :: crates :: lalrpop_util :: v_0_13_1,FALSE,-,TYPE-ONLY-DEP
io :: crates :: pdf_extract :: v_0_3_0,io :: crates :: postscript :: v_0_11_1,FALSE,unused dependency,TYPE-ONLY-DEP
io :: crates :: fast_fmt :: v_0_1_2,io :: crates :: void :: v_1_0_2,FALSE,-,CONDITIONAL
io :: crates :: midir :: v_0_5_0,io :: crates :: memalloc :: v_0_1_0,FALSE,unsafe closure,C-CALL
io :: crates :: euclid :: v_0_10_2,io :: crates :: log :: v_0_3_9,FALSE,macro call,MACRO
io :: crates :: code_sandwich_crates_io_release_test_macros :: v_0_1_1,io :: crates :: syn :: v_0_11_11,FALSE,not used,MACRO
io :: crates :: minutae :: v_0_2_0,io :: crates :: rayon :: v_0_7_1,FALSE,"Dynamic call, rayon::prelude::*",DYNAMIC-CALL
io :: crates :: tm4c123x :: v_0_4_0,io :: crates :: cortex_m :: v_0_2_12,FALSE,only constands and data structs are used from cortex_m but no call or fn impl,TYPE-ONLY-DEP
io :: crates :: wayland_scanner :: v_0_12_3,io :: crates :: xml_rs :: v_0_7_0,FALSE,calls to xml inside gen fn,CALL-IN-GEN-DEF
io :: crates :: arraydeque :: v_0_1_2,io :: crates :: nodrop :: v_0_1_12,FALSE,call made in an unsafe closure,C-CALL
io :: crates :: rubrail :: v_0_5_0,io :: crates :: fruitbasket :: v_0_4_1,TRUE,-,NOT-IMPORT
io :: crates :: fitsio :: v_0_5_2,io :: crates :: fitsio_sys :: v_0_2_3,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: gattii :: v_0_10_0,io :: crates :: gdk :: v_0_5_3,TRUE,not imported,NOT-IMPORT
io :: crates :: lewton :: v_0_6_1,io :: crates :: ieee754 :: v_0_2_2,FALSE,-,CONDITIONAL
io :: crates :: rebind :: v_0_0_4,io :: crates :: itertools :: v_0_3_25,TRUE,-,NOT-IMPORT
io :: crates :: xstream :: v_0_1_0,io :: crates :: miscreant :: v_0_3_0,FALSE,only imported DS,TYPE-ONLY-DEP
io :: crates :: rsign :: v_0_1_0,io :: crates :: rpassword :: v_1_0_2,TRUE,only imported in main,NOT-IN-LIB
io :: crates :: ciruela :: v_0_5_3,io :: crates :: scan_dir :: v_0_3_3,TRUE,not imported in lib,NOT-IN-LIB
io :: crates :: vek :: v_0_6_0,io :: crates :: fix :: v_0_1_1,FALSE,-,CONDITIONAL
io :: crates :: evic :: v_0_1_1,io :: crates :: getopts :: v_0_2_17,TRUE,-,NOT-IMPORT
io :: crates :: uhttp_json_api :: v_0_6_1,io :: crates :: uhttp_version :: v_0_6_0,TRUE,imported for test,TEST-CODE
io :: crates :: bcmp :: v_0_1_0,io :: crates :: bytepack :: v_0_3_1,FALSE,"dynamic call, while hard to see, there is a call 'unpack'",DYNAMIC-CALL
